OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,High_level_taxonomy,HL_hit_percent_id,HL_hit_query_cover,Notes
OOTU_982,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_983,Cryptista,Katablepharidophyta,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_984,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,unidentified,Vermispora,unidentified,,0,0,
OOTU_985,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis calospora ,,0,0,
OOTU_986,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_987,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Fibulochlamys,Fibulochlamys chilensis ,,0,0,
OOTU_988,Fungi,Kickxellomycota,Ramicandelaberomycetes,Ramicandelaberales,Ramicandelaberaceae,Ramicandelaber,unidentified,,0,0,
OOTU_989,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_990,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_991,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_992,Fungi,Kickxellomycota,Ramicandelaberomycetes,Ramicandelaberales,Ramicandelaberaceae,Ramicandelaber,unidentified,,0,0,
OOTU_993,Stramenopila,Ochrophyta,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_994,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_995,Viridiplantae,Anthophyta,Eudicotyledonae,Malvales,Malvaceae,Gossypium,unidentified,,0,0,
OOTU_996,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_997,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Pythium,Pythium sp  ,,0,0,
OOTU_998,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_999,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_1000,Metazoa,Nematoda,Chromadorea,Rhabditida,Anguinidae,Ditylenchus,unidentified,,0,0,
OOTU_1001,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_1002,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_1003,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_1004,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_1005,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_1006,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Leucoagaricus,Leucoagaricus americanus ,,0,0,
OOTU_1007,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_1008,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_1009,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_1010,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_1011,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_1012,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_1013,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_1014,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Neofusicoccum,Neofusicoccum corticosae ,,0,0,
OOTU_1015,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,0,0,
OOTU_1016,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Stephanosporaceae,Cristinia,unidentified,,0,0,
